Taluks,Population 2011_Rural_male,Population 2011_Rural_female,Population 2011_Rural_total,Population 2011_urban_male,Population 2011_urban_female,Population 2011_urban_total,Population 2011_Rural_urban_total,Population 2011_Decadal Change in percentage_2001 - 11Rural,Population 2011_Decadal Change in percentage_2001 - 11_urban,Population 2011_Decadal Change in percentage_2001 - 11_total
Bagepalli,76062.0,74514.0,150576.0,16843.0,16079.0,32922.0,183498.0,0.67,63.64,8.14
Shidlagatta,82872.0,80138.0,163010.0,26065.0,25094.0,51159.0,214169.0,6.64,24.48,10.42
Chinthamani,112280.0,109722.0,222002.0,38334.0,37734.0,76068.0,298070.0,7.88,16.15,9.87
Magadi,84216.0,82906.0,167122.0,18366.0,18353.0,36719.0,203841.0,-5.79,46.69,0.7
Ramanagar,82852.0,78678.0,161530.0,53594.0,51490.0,105084.0,266614.0,1.62,32.36,11.86
Channapatna,94310.0,95052.0,189362.0,36098.0,35844.0,71942.0,261304.0,0.19,13.16,3.46
Kanakpura,102784.0,99466.0,202250.0,27512.0,26502.0,54014.0,256264.0,1.17,14.77,3.76
Harohalli,38301.0,36576.0,74877.0,9975.0,9761.0,19736.0,94613.0,1.46,19.96,4.84
Yadgir,87644.0,87727.0,175371.0,39734.0,39992.0,79726.0,255097.0,19.0,32.0,22.0
Shahapur,93201.0,91729.0,184930.0,35213.0,33726.0,68939.0,253869.0,18.0,8.0,24.0
Shorapur,101172.0,99763.0,200935.0,25770.0,25628.0,51398.0,252333.0,23.0,18.0,22.0
Gurumithakala,60786.0,61862.0,122648.0,10534.0,10080.0,20614.0,143262.0,0.0,0.0,0.0
Vadagera,55044.0,54708.0,109752.0,0.0,0.0,0.0,109752.0,0.0,0.0,0.0
Hunisigi,81231.0,78727.0,159958.0,0.0,0.0,0.0,159958.0,0.0,0.0,0.0
Hospet,56154.0,55454.0,111608.0,123133.0,124526.0,247659.0,359267.0,30.07,23.61,25.55
Kudligi,100001.0,95892.0,195893.0,13428.0,13252.0,26680.0,222573.0,12.93,22.11,13.95
Hagaribommanahalli,72266.0,70055.0,142321.0,17418.0,17399.0,34817.0,177138.0,16.77,26.15,18.51
Harapanahalli,130398.0,124566.0,254964.0,23891.0,23148.0,47039.0,302003.0,12.38,12.25,12.36
Kotturu,36436.0,34703.0,71139.0,13190.0,13099.0,26289.0,97428.0,10.17,15.81,11.63
Hadagali,84819.0,82433.0,167252.0,14034.0,13933.0,27967.0,195219.0,15.58,19.45,16.12
state_total,18693140.0,18308309.0,37001449.0,12273517.0,11820331.0,24093848.0,61095297.0,7.4,31.5,15.6
Saraguru,36466.76226491657,36506.06183045178,72967.7667255983,5632.2799877106745,5793.147493393264,11422.167507630067,84392.20061284241,-0.9282745296936685,-1.4456323503938262,-1.1023645193147793
Kalgatgi,71200.05933990181,66539.1005982224,137739.4777225589,8529.09443329218,8389.154093543022,16915.394598047256,154658.95753493017,15.402896104251738,10.167744676177662,14.980843645437812
Aurad,78318.24082983482,74880.29967090256,153194.37587104895,10058.578533993048,9793.943630090338,19846.063682773856,173050.74943785515,18.798623966776262,18.30622835965424,14.500643703833347
Kampli,41226.27541903896,41676.35584791949,82908.29499363714,19471.66130052185,19826.86948769071,39305.49770618078,122214.33497634232,13.757067636367392,9.140458663476169,12.406041386562519
Kukanuru,46757.30509571243,45835.99728664646,92596.36459710593,9075.392781024306,8960.757688809208,18033.45814442225,110629.11454573329,7.9740292477197325,13.942045952868309,11.465400270234712
Dandelli,5388.201151854933,5261.327491902922,10645.254616326396,28000.080164129322,27632.36367826324,55622.3005397409,66269.13765545207,30.6512996456066,-3.0964220048075264,-2.9531046030488985
Saraguru,36464.87022985168,36505.49390628215,72967.21825922733,5634.517016149734,5788.80527939839,11424.91427204922,84386.5819478293,1.867054394064077,4.9113898854562805,-2.043084577359613
